pff_PLAYERNAME,Season,TotalBoxPM,TotalPassBoxPM,TotalRunBoxPM,PassPM,PassBoxPM,RunPM,RunBoxPM,PlayerID,Position,PlayerName,team,position,TotalEPAR,PassEPAR,RunEPAR,plays
Laviska Shenault Jr.,2022,6.4714378,-1.38302988,7.85446768,0.01543709941926909,-0.01425804,0.06839537828381635,0.07340624,52450,WR,Laviska Shenault Jr.,CAR,WR,17.528060332950428,16.545694862844122,0.982365470106306,235
J.J. Nelson,2017,6.39352833,-1.59791262,7.991440949999999,0.00351443824426952,-0.00413967,0.0439373823483333,0.05292345,42502,WR,J.J. Nelson,ARZ,WR,-4.9431455857893365,-4.404666677915268,-0.5384789078740685,594
JuJu Smith-Schuster,2021,6.25307094,-1.6033701,7.85644104,0.01856300332297419,-0.00843879,0.07366397561236233,0.09352906,44874,WR,JuJu Smith-Schuster,PIT,WR,1.0027565563160536,-0.14639103350611063,1.1491475898221644,328
Odell Beckham Jr.,2017,6.21309419,1.04082993,5.1722642599999995,0.020895900845848,0.00680281,0.05266529400226837,0.08917697,41238,WR,Odell Beckham Jr.,NYG,WR,5.1883514993513495,5.716345701306801,-0.5279942019554508,222
Roddy White,2015,6.20382708,-12.2502006,18.45402768,-0.01429887285378772,-0.0195378,0.058190682670224,0.06030728,29854,WR,Roddy White,ATL,WR,-15.84619368044044,-17.43475744560582,1.5885637651653803,937
Jerricho Cotchery,2015,6.144084,-1.05324604,7.197330040000001,-0.00261276945201017,-0.00341963,0.07435743064895181,0.03394967,29061,WR,Jerricho Cotchery,CAR,WR,12.765049554506113,12.47775937691039,0.2872901775957238,554
Will Fuller V,2018,6.1280407100000005,2.95825446,3.16978625,0.00851630116967746,0.01188054,0.05615586545376584,0.02535829,43310,WR,Will Fuller V,HST,WR,21.72366180475904,21.31827694624583,0.4053848585132089,368
Breshad Perriman,2016,6.124232579999999,2.4440527199999997,3.68017986,-0.00623275872649798,0.00702314,0.03484822185155938,0.02666797,42369,WR,Breshad Perriman,BLT,WR,6.537872712854746,6.09421092735106,0.44366178550368546,496
Michael Gallup,2018,5.95899212,-0.31026908,6.2692612,0.00421700472879192,-5.8652e-4,0.05802152900524406,0.0199658,46150,WR,Michael Gallup,DAL,WR,2.8701935418758566,1.9306569176128188,0.9395366242630383,925
Olabisi Johnson,2019,5.91796864,-8.4025152,14.32048384,-0.03533095985975609,-0.02471328,0.03165053661021439,0.05593939,48030,WR,Olabisi Johnson,MIN,WR,7.0042661019181365,5.34565675690054,1.6586093450175952,649
Willie Snead IV,2015,5.90880789,-3.29653926,9.20534715,0.00980276297241295,-0.00602658,0.04866338365176156,0.03917169,41500,WR,Willie Snead IV,NO,WR,25.503820444957626,24.59707646111465,0.9067439838429742,867
Keshawn Martin,2015,5.89690708,-6.81345954,12.71036662,-0.0306645721424989,-0.01846466,-0.0069171859987123404,0.07022302,38651,WR,Keshawn Martin,NE,WR,-0.8910058186236384,-0.7372807950236648,-0.1537250235999741,691
Chris Givens,2015,5.86620464,-4.66726056,10.5334652,-0.00382439564029697,-0.01467692,0.04263292682878612,0.06196156,38626,WR,Chris Givens,SL,WR,-0.9491628488932419,-0.0822951043219236,-0.8668677445713184,560
Albert Wilson,2021,5.83942894,-4.59985242,10.43928136,-0.00778172844187115,-0.01940866,0.0397765515636719,0.08556788,41506,WR,Albert Wilson,MIA,WR,0.7040831786098185,-0.02777766394952917,1.6225154833865205,361
Devin Funchess,2016,5.8386985,-2.2732375,8.111936,0.01849492768091095,-0.00783875,0.02725230022270177,0.04055968,42384,WR,Devin Funchess,CAR,WR,3.8211136602120512,5.664334714236174,-1.8432210540241232,531
Laviska Shenault Jr.,2021,5.79307792,-6.564207,12.35728492,-0.00326670410624237,-0.013647,0.0749360970421868,0.05998682,52450,WR,Laviska Shenault Jr.,JAX,WR,0.7234707094881456,0.750052439228314,-0.026581729740168654,732
Dwayne Harris,2015,5.785271819999999,-6.5878053,12.37307712,-0.00667040934162439,-0.01514438,0.07423025757072366,0.06581424,37251,WR,Dwayne Harris,NYG,WR,-4.501722867818586,-4.218538802020455,-0.2831840657981309,713
Julian Edelman,2020,5.75675105,-1.02570835,6.7824594,-0.00609817645346215,-0.00592895,0.05984632250023199,0.07536066,34683,WR,Julian Edelman,NE,WR,-1.05096927627041,-3.160763675095122,0.7482186744322024,262
Sterling Shepard,2021,5.75288993,-2.4021911499999997,8.15508108,-0.0026048179339474,-0.01022209,0.05415825171728062,0.07551001,43329,WR,Sterling Shepard,NYG,WR,5.244190576115821,6.169873293477769,-0.9256827173619477,375
DeSean Jackson,2021,5.746460540000001,1.60881038,4.137650160000001,0.00476081706460126,0.00711863,0.04055639354826063,0.04222092,33130,WR,DeSean Jackson,LA,WR,14.183164488004973,14.37799630415568,-0.1948318161507071,323
Bruce Ellington,2017,5.741051429999999,-1.5911016,7.332153029999999,-0.00750871746303617,-0.0043832,0.07177289293984687,0.03287961,41335,WR,Bruce Ellington,HST,WR,1.790974701805924,1.899471200178308,-0.7307664474758233,635
