pff_PLAYERNAME,Season,Position,TotalBoxPM,TotalPassBoxPM,TotalRunDBoxPM,PassPM,PassBoxPM,PlayerID,RunDPM,RunDBoxPM,PlayerName,team,position,TotalEPAR,PassEPAR,RunDEPAR,plays
Casey Hayward Jr.,2021,CB,-29.07692003,-33.3002756,4.22335557,-0.02763012742256387,-0.04677005,38592,0.0142769465371301,0.00957677,Casey Hayward Jr.,LV,CB,-6.084934104050751,-5.770481417762453,-0.314452686288299,1136
Patrick Chung,2018,S,-29.02862993,-28.29076488,-0.73786505,-0.04401044562990305,-0.03962292,34485,-0.01314772835947934,-0.00232765,Patrick Chung,NE,S,-6.181211823084962,-8.870773389740062,2.6895615666551,1093
Von Miller,2016,EDGE,-28.966161300000003,-24.05281134,-4.91334996,-0.04504423410700807,-0.05106754,37075,-0.01225332209287878,-0.01317252,Von Miller,DEN,ED,-61.745505922256896,-41.85739451603823,-19.88811140621867,956
Ha Ha Clinton-Dix,2016,S,-28.91633586,-30.14069298,1.22435712,-0.03708431564013581,-0.03772302,41247,0.00483224061852178,0.00283416,Ha Ha Clinton-Dix,GB,S,-11.93578248694214,-9.525447711752195,-2.4103347751899458,1237
Jayron Kearse,2021,S,-28.86938619,-27.46814208,-1.4012441100000002,-0.05116635155561015,-0.04075392,43533,0.00145825759937156,-0.00351189,Jayron Kearse,DAL,S,-31.969364843765995,-28.47841594286495,-3.490948900901048,1081
Patrick Robinson,2017,CB,-28.71855156,-36.05991652,7.34136496,-0.03560241406487801,-0.05625572,35471,0.04625708440028515,0.03462908,Patrick Robinson,PHI,CB,-51.48982538255356,-49.50722898240094,-1.982596400152631,887
T.J. Watt,2019,EDGE,-28.52596691,-24.60626987,-3.91969704,-0.02594677230300776,-0.04815317,44842,-0.00630882502468939,-0.01053682,T.J. Watt,PIT,ED,-58.42644822244319,-46.41192039804451,-12.014527824398684,972
Chuck Clark,2020,S,-28.28068509,-27.39233469,-0.8883504,-0.02962173278212965,-0.03525397,44999,-0.00578854932855752,-0.0022662,Chuck Clark,BLT,S,-8.815237213771168,0.1347959637403855,-8.950033177511555,1148
Jurrell Casey,2018,IDL,-28.274763380000003,-16.12398942,-12.15077396,-0.004514470148903,-0.03490041,37152,-0.03782286509617515,-0.04370782,Jurrell Casey,TEN,DI,-39.82602608832525,-22.33626205691356,-17.489764031411692,761
Darius Slay,2022,CB,-28.135181269999997,-33.35647151,5.22129024,-0.06139798826887187,-0.04678327,39984,0.01921232314948914,0.01208632,Darius Slay,PHI,CB,-8.154622440589026,-14.542393674855628,6.3877712342666015,1132
Roger McCreary,2022,CB,-28.098011599999996,-38.203327439999995,10.10531584,-0.04558933516084246,-0.04848138,54500,0.01704444620526395,0.02687584,Roger McCreary,TEN,CB,4.57841192948246,3.7340228870821273,0.8443890424003324,1153
Aaron Donald,2016,IDL,-28.008946869999995,-20.387165399999997,-7.621781469999999,-0.03626828745619021,-0.03775401,41239,-0.02432088132845956,-0.02693209,Aaron Donald,LA,DI,-51.849544917940364,-40.335608682701285,-11.513936235239077,839
Darious Williams,2022,CB,-27.914094160000005,-39.1715104,11.25741624,-0.04810087841066459,-0.05564135,46456,0.02974001759236843,0.03034344,Darious Williams,JAX,CB,-15.933055644495413,-17.12374470170072,1.1906890572053068,1057
John Simon,2015,EDGE,-27.86968893,-23.22319554,-4.64649339,-0.07607425975842302,-0.08323726,40077,-0.02312288607118052,-0.02011469,John Simon,HST,ED,-1.4605145701191415,-0.25699151716033863,-1.2035230529588006,707
Ross Cockrell,2016,CB,-27.69709772,-33.46684796,5.7697502400000005,-0.03054014910273529,-0.04121533,41338,0.01582061809578755,0.01428156,Ross Cockrell,PIT,CB,0.9139435001842962,-0.4988884635502776,1.4128319637345745,1290
Marlon Humphrey,2020,CB,-27.67488708,-37.04438577,9.36949869,-0.0313636313474738,-0.05166581,44828,0.0149317388416116,0.02595429,Marlon Humphrey,BLT,CB,-26.678612833973002,-29.13977589984663,2.4611630658736288,1059
Nick Bosa,2022,EDGE,-27.67325085,-26.485996600000004,-1.18725425,-0.04690434702135598,-0.04451428,47785,-0.0056678843410407,-0.00397075,Nick Bosa,SF,ED,-51.10981248697816,-47.96767789702922,-3.142134589948936,887
A.J. Bouye,2017,CB,-27.57648725,-36.06738758,8.49090033,-0.04439210554598714,-0.04635911,40688,0.01354711366756241,0.01882683,A.J. Bouye,JAX,CB,-32.72917503284339,-30.577563267361054,-2.151611765482342,1204
Von Miller,2017,EDGE,-27.545764020000004,-23.961946020000003,-3.583818,-0.04504423410700807,-0.05087462,37075,-0.01366387048247635,-0.010479,Von Miller,DEN,ED,-59.73641104997924,-38.76705423442649,-20.969356815552747,846
Charvarius Ward,2019,CB,-27.418624880000007,-33.989824680000005,6.5711998,-0.02727813194683276,-0.04185939,46757,0.01254265094745085,0.01528186,Charvarius Ward,KC,CB,-1.1719973160481447,-0.7390787952784083,-0.43291852076973525,1293
Talanoa Hufanga,2022,S,-27.343938360000003,-26.10500619,-1.23893217,-0.03867312857281657,-0.03377103,53609,0.00119843562864356,-0.00280937,Talanoa Hufanga,SF,S,-27.997774984572526,-25.256586549604258,-2.741188434968268,1222
Vonn Bell,2021,S,-27.2941269,-27.5477775,0.2536506,-0.04201010826841881,-0.03240915,43350,-0.00393339547013549,6.0393e-4,Vonn Bell,CIN,S,-14.019698567976501,-11.01391846971084,-3.0057800982656615,1270
Fletcher Cox,2015,IDL,-27.19086639,-17.07528924,-10.11557715,0.02067404864308611,-0.02749644,38542,-0.02606738229929576,-0.02833495,Fletcher Cox,PHI,DI,-45.41091189322038,-29.819776908721664,-15.591134984498717,1010
Logan Ryan,2019,CB,-27.189236719999997,-42.539961899999994,15.35072518,-0.04891589218954331,-0.0490657,40031,0.02287322827238318,0.03381217,Logan Ryan,TEN,CB,-36.681881383577284,-21.544188031649686,-15.1376933519276,1313
Jamal Adams,2018,S,-27.16788201,-24.33764025,-2.8302417600000003,-0.03837744018956721,-0.03511925,44818,-0.00450525707177382,-0.00664376,Jamal Adams,NYJ,S,-45.23176314128598,-26.46074762146626,-18.771015519819723,1166
Patrick Chung,2017,S,-27.11329504,-28.7467605,1.6334654599999998,-0.04401044562990305,-0.03895225,34485,-0.01087843209909218,0.00419914,Patrick Chung,NE,S,-5.607512684066169,-12.159792208421562,6.552279524355391,1144
Malcolm Jenkins,2021,S,-27.020369499999997,-27.57742204,0.55705254,-0.04523829930597994,-0.04061476,34465,-0.013888035231102,0.00153458,Malcolm Jenkins,NO,S,-16.421562037601902,-16.62217258047394,0.20061054287204064,1033
Jalen Ramsey,2018,CB,-27.01503122,-27.45526698,0.44023576,-0.07184480084884012,-0.04421138,43294,0.00381301988492449,0.00110612,Jalen Ramsey,JAX,CB,-2.409365634117147,-3.4301976718443594,1.0208320377272118,1024
J.J. Watt,2018,EDGE,-26.97321728,-22.61103728,-4.3621799999999995,-0.03975931700907654,-0.03344828,37084,-0.01185521435136063,-0.012535,J.J. Watt,HST,ED,-49.91715680745251,-30.43686047291316,-19.48029633453935,1016
Bradley McDougald,2019,S,-26.782870530000004,-25.167750660000003,-1.6151198700000002,-0.01443518543256754,-0.03652794,40621,0.0073884082519242,-0.00426153,Bradley McDougald,SEA,S,-13.016751708204373,-13.669420064346719,0.6526683561423442,1086
Malcolm Butler,2016,CB,-26.67268134,-34.80484654,8.1321652,-0.02967314013068977,-0.04366982,42006,0.01543111388602595,0.02058776,Malcolm Butler,NE,CB,-36.77456669920221,-39.68190887887216,2.9073421796699446,1257
Danielle Hunter,2019,EDGE,-26.53549032,-23.22117,-3.31432032,-0.02331024602640587,-0.037758,42431,-0.0083307883500945,-0.00905552,Danielle Hunter,MIN,ED,-49.97673776649946,-41.54325562585431,-8.433482140645154,1040
Jurrell Casey,2017,IDL,-26.52734785,-13.6730616,-12.85428625,-0.0079186582899983,-0.02071676,37152,-0.03450543621463749,-0.03955165,Jurrell Casey,TEN,DI,-36.46667463497299,-9.594516053217422,-26.872158581755567,999
Chris Harris Jr.,2016,CB,-26.485863239999997,-38.3644074,11.87854416,-0.04751537065640737,-0.05812789,37724,0.02104263245736161,0.02749663,Chris Harris Jr.,DEN,CB,-45.85977251136911,-47.33516107705987,1.4753885656907575,1114
Brice McCain,2016,CB,-26.45493892,-35.51476788,9.05982896,-0.03610396768136305,-0.05584083,34639,0.033652088733472,0.04355687,Brice McCain,TEN,CB,9.700956222098998,8.403317987111672,1.2976382349873257,887
Reggie Nelson,2015,S,-26.43658402,-27.9725853,1.53600128,-0.03245175316953313,-0.03831861,32214,0.00471569887601849,0.00446512,Reggie Nelson,CIN,S,-28.11513304785382,-25.049189524920944,-3.065943522932876,1114
Kurt Coleman,2015,S,-26.32014682,-27.76774896,1.44760214,-0.04013120150267464,-0.03357648,35685,0.00509508318533939,0.00394442,Kurt Coleman,CAR,S,-32.463257953518024,-26.19512773691521,-6.2681302166028114,1251
Justin Reid,2022,S,-26.2590369,-29.3421609,3.083124,-0.02977491941783554,-0.0336879,46137,0.00242044318015293,0.0070071,Justin Reid,KC,S,1.6731188246168798,-1.6125943168971328,3.2857131415140133,1316
Byron Jones,2016,S,-26.253232599999997,-29.15944668,2.90621408,-0.02002701676801075,-0.03935148,42370,0.00694616735259019,0.00943576,Byron Jones,DAL,S,-2.9751834484622504,2.3391008526441115,-5.314284301106362,1085
Patrick Peterson,2022,CB,-26.23354496,-26.27994626,0.0464013,-0.05601337393279311,-0.03522781,37078,0.00409719649439469,1.0791e-4,Patrick Peterson,MIN,CB,-22.404342749482428,-24.71002319707161,2.305680447589181,1153
Aaron Donald,2015,IDL,-26.2249848,-15.6271788,-10.597806,-0.03626828745619021,-0.02920968,41239,-0.02489774491388313,-0.02943835,Aaron Donald,SL,DI,-61.88862139050036,-29.2136962406768,-32.674925149823565,937
Rodney McLeod,2019,S,-26.20435549,-26.75025873,0.54590324,-0.03685002290223548,-0.03762343,38843,2.355544315847141e-4,0.00150802,Rodney McLeod,PHI,S,-22.63703828866776,-13.674619117197924,-8.962419171469834,1064
Kenny Moore II,2020,CB,-26.04369912,-38.276007,12.23230788,-0.04872602855496854,-0.05799395,45287,0.02619077699418773,0.03484988,Kenny Moore II,IND,CB,-32.72803887027886,-30.17570565572473,-2.5523332145541278,996
Carlton Davis,2020,CB,-26.02441754,-30.03665898,4.01224144,-0.01677829624572282,-0.03694546,46132,0.01965128584202105,0.01090283,Carlton Davis,TB,CB,-7.313034971948942,-7.794246123670216,0.4812111517212749,1157
T.J. Watt,2021,EDGE,-25.981007110000004,-22.902048710000003,-3.0789584,-0.02555317843320238,-0.05100679,44842,-0.00756703381621699,-0.0098056,T.J. Watt,PIT,ED,-53.96182025795523,-50.773242056356814,-3.188578201598419,808
Melvin Ingram III,2017,EDGE,-25.894715620000003,-22.19629782,-3.6984178,-0.02458990693665886,-0.04244034,38548,-0.0093520532285636,-0.0108458,Melvin Ingram III,LAC,ED,-18.380035807759892,-16.433708864493177,-1.9463269432667136,931
Richard Sherman,2015,CB,-25.8861674,-29.86515808,3.97899068,-0.04589087718019963,-0.04340866,37229,0.00983774781156524,0.00963436,Richard Sherman,SEA,CB,-15.551756742795568,-14.400526859964126,-1.1512298828314418,1118
Chris Jones,2022,IDL,-25.85408817,-20.39156418,-5.46252399,-0.02681820148110355,-0.02751898,43326,-0.01078758195353732,-0.01620927,Chris Jones,KC,DI,-37.30896313292145,-34.72920892931871,-2.57975420360274,1072
Terrance Mitchell,2020,CB,-25.84666066,-31.91825476,6.0715940999999995,-0.02655182646390894,-0.04009831,41483,0.01450476206844309,0.0141529,Terrance Mitchell,CLV,CB,18.01204835375251,18.06533197405089,-0.05328362029837994,1190
Keanu Neal,2016,S,-25.80870392,-26.94026456,1.13156064,-0.03990723553050774,-0.03354952,43306,-0.00769781296891414,0.00339808,Keanu Neal,ATL,S,9.478992206821744,8.551995152296653,0.9269970545250912,1138
Marcus Peters,2020,CB,-25.72140227,-31.28571062,5.56430835,-0.04100399965361615,-0.04648694,42361,0.00852989705698393,0.01612843,Marcus Peters,BLT,CB,-26.602233643589845,-26.337476360486303,-0.2647572831035394,998
Antoine Winfield Jr.,2020,S,-25.66821075,-27.70863634,2.0404255900000003,-0.03859653180012727,-0.03244571,52453,-0.00158544367435836,0.00524531,Antoine Winfield Jr.,TB,S,-11.997617034081587,-9.231048302394758,-2.7665687316868306,1219
Landon Collins,2016,S,-25.651806940000004,-26.252346600000003,0.60053966,-0.0407756831807968,-0.03477132,42376,-0.00360743864662678,0.00142646,Landon Collins,NYG,S,-74.13422560558546,-46.90219359463486,-27.232032010950594,1254
Stephon Gilmore,2017,CB,-25.62458595,-30.64337928,5.01879333,-0.0537131569329688,-0.04685532,38540,0.00716159667607507,0.01345521,Stephon Gilmore,NE,CB,-14.668322911396517,-13.435564903996415,-1.2327580074001014,1045
J.C. Jackson,2021,CB,-25.54346517,-32.53177936,6.98831419,-0.03786390425265697,-0.05495233,46775,0.01475512359237121,0.01734073,J.C. Jackson,NE,CB,-50.235165662664485,-52.09482434035124,1.8596586776867512,1019
